bridge_repo,template_repo,base_branch,template_branch
vibe-coding-classroom/vibe-coding-classroom-01-master-getting-started-01-master-getting-started,vibe-coding-classroom/01-master-getting-started,main,main
vibe-coding-classroom/vibe-coding-classroom-01-unit-developer-identity-01-unit-developer-identity,vibe-coding-classroom/01-unit-developer-identity,main,main
vibe-coding-classroom/vibe-coding-classroom-01-unit-vscode-online-01-unit-vscode-online,vibe-coding-classroom/01-unit-vscode-online,main,main
vibe-coding-classroom/vibe-coding-classroom-01-unit-vscode-setup-01-unit-vscode-setup,vibe-coding-classroom/01-unit-vscode-setup,main,main
vibe-coding-classroom/vibe-coding-classroom-02-master-ai-agents-02-master-ai-agents,vibe-coding-classroom/02-master-ai-agents,main,main
vibe-coding-classroom/vibe-coding-classroom-02-unit-agent-mode-02-unit-agent-mode,vibe-coding-classroom/02-unit-agent-mode,main,main
vibe-coding-classroom/vibe-coding-classroom-02-unit-vibe-coding-02-unit-vibe-coding,vibe-coding-classroom/02-unit-vibe-coding,main,main
vibe-coding-classroom/vibe-coding-classroom-02-unit-web-agents-02-unit-web-agents,vibe-coding-classroom/02-unit-web-agents,main,main
vibe-coding-classroom/vibe-coding-classroom-03-master-wifi-motor-03-master-wifi-motor,vibe-coding-classroom/03-master-wifi-motor,main,main
vibe-coding-classroom/vibe-coding-classroom-03-unit-github-classroom-03-unit-github-classroom,vibe-coding-classroom/03-unit-github-classroom,main,main
vibe-coding-classroom/vibe-coding-classroom-03-unit-motor-ramping-03-unit-motor-ramping,vibe-coding-classroom/03-unit-motor-ramping,main,main
vibe-coding-classroom/vibe-coding-classroom-03-unit-wifi-setup-03-unit-wifi-setup,vibe-coding-classroom/03-unit-wifi-setup,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-01-master-s3-cam-adv-01-master-s3-cam,vibe-coding-classroom/adv-01-master-s3-cam,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-jpeg-quality-adv-01-unit-jpeg-quality,vibe-coding-classroom/adv-01-unit-jpeg-quality,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-mjpeg-stream-adv-01-unit-mjpeg-stream,vibe-coding-classroom/adv-01-unit-mjpeg-stream,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-s3-interfaces-adv-01-unit-s3-interfaces,vibe-coding-classroom/adv-01-unit-s3-interfaces,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-02-master-video-adv-02-master-video,vibe-coding-classroom/adv-02-master-video,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-bandwidth-fps-adv-02-unit-bandwidth-fps,vibe-coding-classroom/adv-02-unit-bandwidth-fps,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-canvas-image-adv-02-unit-canvas-image,vibe-coding-classroom/adv-02-unit-canvas-image,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-video-streaming-adv-02-unit-video-streaming,vibe-coding-classroom/adv-02-unit-video-streaming,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-03-master-ble-advanced-adv-03-master-ble-advanced,vibe-coding-classroom/adv-03-master-ble-advanced,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-03-unit-ble-mtu-adv-03-unit-ble-mtu,vibe-coding-classroom/adv-03-unit-ble-mtu,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-03-unit-ble-notify-adv-03-unit-ble-notify,vibe-coding-classroom/adv-03-unit-ble-notify,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-03-unit-json-serialization-adv-03-unit-json-serialization,vibe-coding-classroom/adv-03-unit-json-serialization,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-04-master-sensors-adv-04-master-sensors,vibe-coding-classroom/adv-04-master-sensors,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-filter-algorithms-adv-04-unit-filter-algorithms,vibe-coding-classroom/adv-04-unit-filter-algorithms,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-i2c-spi-adv-04-unit-i2c-spi,vibe-coding-classroom/adv-04-unit-i2c-spi,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-json-rest-adv-04-unit-json-rest,vibe-coding-classroom/adv-04-unit-json-rest,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-05-master-cv-adv-05-master-cv,vibe-coding-classroom/adv-05-master-cv,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-centroid-error-adv-05-unit-centroid-error,vibe-coding-classroom/adv-05-unit-centroid-error,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-closed-loop-adv-05-unit-closed-loop,vibe-coding-classroom/adv-05-unit-closed-loop,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-feature-extraction-adv-05-unit-feature-extraction,vibe-coding-classroom/adv-05-unit-feature-extraction,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-06-master-cv-advanced-adv-06-master-cv-advanced,vibe-coding-classroom/adv-06-master-cv-advanced,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-centroid-algorithm-adv-06-unit-centroid-algorithm,vibe-coding-classroom/adv-06-unit-centroid-algorithm,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-hsv-math-adv-06-unit-hsv-math,vibe-coding-classroom/adv-06-unit-hsv-math,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-look-ahead-adv-06-unit-look-ahead,vibe-coding-classroom/adv-06-unit-look-ahead,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-threshold-filter-adv-06-unit-threshold-filter,vibe-coding-classroom/adv-06-unit-threshold-filter,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-07-master-ui-framework-adv-07-master-ui-framework,vibe-coding-classroom/adv-07-master-ui-framework,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-chart-canvas-adv-07-unit-chart-canvas,vibe-coding-classroom/adv-07-unit-chart-canvas,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-event-polling-adv-07-unit-event-polling,vibe-coding-classroom/adv-07-unit-event-polling,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-json-parsing-adv-07-unit-json-parsing,vibe-coding-classroom/adv-07-unit-json-parsing,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-ui-framework-adv-07-unit-ui-framework,vibe-coding-classroom/adv-07-unit-ui-framework,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-08-master-image-processing-adv-08-master-image-processing,vibe-coding-classroom/adv-08-master-image-processing,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-color-spaces-adv-08-unit-color-spaces,vibe-coding-classroom/adv-08-unit-color-spaces,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-error-calculation-adv-08-unit-error-calculation,vibe-coding-classroom/adv-08-unit-error-calculation,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-mobilenet-ssd-adv-08-unit-mobilenet-ssd,vibe-coding-classroom/adv-08-unit-mobilenet-ssd,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-p-control-adv-08-unit-p-control,vibe-coding-classroom/adv-08-unit-p-control,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-09-master-ai-recognition-adv-09-master-ai-recognition,vibe-coding-classroom/adv-09-master-ai-recognition,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-cnn-audio-adv-09-unit-cnn-audio,vibe-coding-classroom/adv-09-unit-cnn-audio,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-flow-control-adv-09-unit-flow-control,vibe-coding-classroom/adv-09-unit-flow-control,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-teachable-machine-adv-09-unit-teachable-machine,vibe-coding-classroom/adv-09-unit-teachable-machine,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-webspeech-api-adv-09-unit-webspeech-api,vibe-coding-classroom/adv-09-unit-webspeech-api,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-10-master-diff-drive-adv-10-master-diff-drive,vibe-coding-classroom/adv-10-master-diff-drive,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-api-design-adv-10-unit-api-design,vibe-coding-classroom/adv-10-unit-api-design,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-icc-geometry-adv-10-unit-icc-geometry,vibe-coding-classroom/adv-10-unit-icc-geometry,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-pwm-limits-adv-10-unit-pwm-limits,vibe-coding-classroom/adv-10-unit-pwm-limits,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-11-master-photoelectric-adv-11-master-photoelectric,vibe-coding-classroom/adv-11-master-photoelectric,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-hardware-interrupts-adv-11-unit-hardware-interrupts,vibe-coding-classroom/adv-11-unit-hardware-interrupts,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-sensor-principles-adv-11-unit-sensor-principles,vibe-coding-classroom/adv-11-unit-sensor-principles,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-speed-algorithms-adv-11-unit-speed-algorithms,vibe-coding-classroom/adv-11-unit-speed-algorithms,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-12-master-pid-adv-12-master-pid,vibe-coding-classroom/adv-12-master-pid,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-code-logic-adv-12-unit-code-logic,vibe-coding-classroom/adv-12-unit-code-logic,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-pid-control-adv-12-unit-pid-control,vibe-coding-classroom/adv-12-unit-pid-control,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-pid-math-adv-12-unit-pid-math,vibe-coding-classroom/adv-12-unit-pid-math,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-13-master-robustness-adv-13-master-robustness,vibe-coding-classroom/adv-13-master-robustness,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-robustness-adv-13-unit-robustness,vibe-coding-classroom/adv-13-unit-robustness,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-system-perf-adv-13-unit-system-perf,vibe-coding-classroom/adv-13-unit-system-perf,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-technical-narrative-adv-13-unit-technical-narrative,vibe-coding-classroom/adv-13-unit-technical-narrative,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-14-master-debugging-art-adv-14-master-debugging-art,vibe-coding-classroom/adv-14-master-debugging-art,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-debugging-art-adv-14-unit-debugging-art,vibe-coding-classroom/adv-14-unit-debugging-art,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-kpi-definition-adv-14-unit-kpi-definition,vibe-coding-classroom/adv-14-unit-kpi-definition,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-refactoring-adv-14-unit-refactoring,vibe-coding-classroom/adv-14-unit-refactoring,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-15-master-architecture-adv-15-master-architecture,vibe-coding-classroom/adv-15-master-architecture,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-ble-async-adv-15-unit-ble-async,vibe-coding-classroom/adv-15-unit-ble-async,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-data-flow-adv-15-unit-data-flow,vibe-coding-classroom/adv-15-unit-data-flow,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-image-dma-adv-15-unit-image-dma,vibe-coding-classroom/adv-15-unit-image-dma,main,main
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-pid-simulation-adv-15-unit-pid-simulation,vibe-coding-classroom/adv-15-unit-pid-simulation,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-01-master-environment-basic-01-master-environment,vibe-coding-classroom/basic-01-master-environment,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-drivers-ports-basic-01-unit-drivers-ports,vibe-coding-classroom/basic-01-unit-drivers-ports,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-esp32-architecture-basic-01-unit-esp32-architecture,vibe-coding-classroom/basic-01-unit-esp32-architecture,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-platformio-setup-basic-01-unit-platformio-setup,vibe-coding-classroom/basic-01-unit-platformio-setup,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-02-master-ota-architecture-basic-02-master-ota-architecture,vibe-coding-classroom/basic-02-master-ota-architecture,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-ota-principles-basic-02-unit-ota-principles,vibe-coding-classroom/basic-02-unit-ota-principles,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-ota-security-basic-02-unit-ota-security,vibe-coding-classroom/basic-02-unit-ota-security,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-partition-table-basic-02-unit-partition-table,vibe-coding-classroom/basic-02-unit-partition-table,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-03-master-io-mapping-basic-03-master-io-mapping,vibe-coding-classroom/basic-03-master-io-mapping,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-adc-resolution-basic-03-unit-adc-resolution,vibe-coding-classroom/basic-03-unit-adc-resolution,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-pinout-basic-03-unit-pinout,vibe-coding-classroom/basic-03-unit-pinout,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-pullup-debounce-basic-03-unit-pullup-debounce,vibe-coding-classroom/basic-03-unit-pullup-debounce,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-04-master-pwm-control-basic-04-master-pwm-control,vibe-coding-classroom/basic-04-master-pwm-control,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-h-bridge-basic-04-unit-h-bridge,vibe-coding-classroom/basic-04-unit-h-bridge,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-ledc-syntax-basic-04-unit-ledc-syntax,vibe-coding-classroom/basic-04-unit-ledc-syntax,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-pwm-basics-basic-04-unit-pwm-basics,vibe-coding-classroom/basic-04-unit-pwm-basics,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-05-master-ble-gatt-basic-05-master-ble-gatt,vibe-coding-classroom/basic-05-master-ble-gatt,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-advertising-connection-basic-05-unit-advertising-connection,vibe-coding-classroom/basic-05-unit-advertising-connection,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-ble-properties-basic-05-unit-ble-properties,vibe-coding-classroom/basic-05-unit-ble-properties,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-gatt-structure-basic-05-unit-gatt-structure,vibe-coding-classroom/basic-05-unit-gatt-structure,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-06-master-http-web-basic-06-master-http-web,vibe-coding-classroom/basic-06-master-http-web,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-cors-security-basic-06-unit-cors-security,vibe-coding-classroom/basic-06-unit-cors-security,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-fetch-api-basic-06-unit-fetch-api,vibe-coding-classroom/basic-06-unit-fetch-api,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-http-request-basic-06-unit-http-request,vibe-coding-classroom/basic-06-unit-http-request,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-07-master-wifi-modes-basic-07-master-wifi-modes,vibe-coding-classroom/basic-07-master-wifi-modes,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-async-webserver-basic-07-unit-async-webserver,vibe-coding-classroom/basic-07-unit-async-webserver,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-http-lifecycle-basic-07-unit-http-lifecycle,vibe-coding-classroom/basic-07-unit-http-lifecycle,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-wifi-ap-sta-basic-07-unit-wifi-ap-sta,vibe-coding-classroom/basic-07-unit-wifi-ap-sta,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-08-master-joystick-math-basic-08-master-joystick-math,vibe-coding-classroom/basic-08-master-joystick-math,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-joystick-mapping-basic-08-unit-joystick-mapping,vibe-coding-classroom/basic-08-unit-joystick-mapping,main,main
