bridge_repo,status,detail,pr_url
vibe-coding-classroom/vibe-coding-classroom-01-unit-vscode-setup-01-unit-vscode-setup,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-02-unit-agent-mode-02-unit-agent-mode,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-02-unit-vibe-coding-02-unit-vibe-coding,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-02-unit-web-agents-02-unit-web-agents,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-03-unit-github-classroom-03-unit-github-classroom,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-03-unit-motor-ramping-03-unit-motor-ramping,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-03-unit-wifi-setup-03-unit-wifi-setup,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-jpeg-quality-adv-01-unit-jpeg-quality,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-mjpeg-stream-adv-01-unit-mjpeg-stream,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-01-unit-s3-interfaces-adv-01-unit-s3-interfaces,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-bandwidth-fps-adv-02-unit-bandwidth-fps,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-canvas-image-adv-02-unit-canvas-image,unrelated,requires --allow-unrelated-histories strategy,
vibe-coding-classroom/vibe-coding-classroom-adv-02-unit-video-streaming-adv-02-unit-video-streaming,unrelated,requires --allow-unrelated-histories strategy,
